X, Y,,,,,,,,,,,,
5.56,5.20,,,,,,,,,,,
2.82,4.67,,,,,,,,,,,
3.86,5.24,,,,,,,,,,,
7.50,4.77,,,,,,,,,,,
4.56,4.56,,,,,,,,,,,
6.40,5.62,,,,,,,,,,,
5.26,4.73,,,,,,,,,,,
4.84,4.40,,,,,,,,,,,
4.25,4.91,,,,,,,,,,,
5.27,3.27,,,,,,,,,,,
3.42,5.61,,,,,,,,,,,
5.48,5.74,,,,,,,,,,,
4.67,6.75,,,,,,,,,,,
4.34,4.09,,,,,,,,,,,
4.91,4.13,,,,,,,,,,,
4.12,5.08,,,,,,,,,,,
4.68,4.10,,,,,,,,,,,
5.78,4.82,,,,,,,,,,,
6.81,4.71,,,,,,,,,,,
3.14,4.89,,,,,,,,,,,
5.60,4.56,,,,,,,,,,,
4.90,4.90,,,,,,,,,,,
4.44,2.21,,,,,,,,,,,
4.89,6.17,,,,,,,,,,,
5.90,6.85,,,,,,,,,,,
5.47,6.14,,,,,,,,,,,
5.12,6.09,,,,,,,,,,,
3.52,5.43,,,,,,,,,,,
5.86,5.17,,,,,,,,,,,
4.22,5.22,,,,,,,,,,,
4.69,4.46,,,,,,,,,,,
5.23,4.61,,,,,,,,,,,
6.06,4.25,,,,,,,,,,,
5.28,3.22,,,,,,,,,,,
5.09,3.78,,,,,,,,,,,
6.47,6.28,,,,,,,,,,,
4.81,7.33,,,,,,,,,,,
5.82,4.10,,,,,,,,,,,
5.09,6.84,,,,,,,,,,,
4.66,4.93,,,,,,,,,,,
5.90,4.96,,,,,,,,,,,
5.29,2.77,,,,,,,,,,,
4.65,5.07,,,,,,,,,,,
6.84,5.51,,,,,,,,,,,
3.96,4.76,,,,,,,,,,,
2.58,4.75,,,,,,,,,,,
4.04,4.93,,,,,,,,,,,
5.32,5.61,,,,,,,,,,,
4.57,6.22,,,,,,,,,,,
6.04,4.68,,,,,,,,,,,
3.12,6.34,,,,,,,,,,,
4.06,6.03,,,,,,,,,,,
4.21,3.67,,,,,,,,,,,
5.88,5.42,,,,,,,,,,,
4.68,5.14,,,,,,,,,,,
5.56,4.10,,,,,,,,,,,
5.31,5.30,,,,,,,,,,,
5.57,3.97,,,,,,,,,,,
6.03,5.35,,,,,,,,,,,
5.91,3.99,,,,,,,,,,,
5.21,4.37,,,,,,,,,,,
6.70,5.21,,,,,,,,,,,
4.39,5.87,,,,,,,,,,,
5.12,6.04,,,,,,,,,,,
4.30,5.27,,,,,,,,,,,
4.73,5.44,,,,,,,,,,,
4.51,5.41,,,,,,,,,,,
6.48,4.02,,,,,,,,,,,
6.02,5.30,,,,,,,,,,,
5.45,3.86,,,,,,,,,,,
4.89,5.53,,,,,,,,,,,
3.87,4.03,,,,,,,,,,,
5.29,5.52,,,,,,,,,,,
3.74,4.82,,,,,,,,,,,
4.52,4.03,,,,,,,,,,,
3.83,5.41,,,,,,,,,,,
4.87,5.44,,,,,,,,,,,
5.66,3.00,,,,,,,,,,,
6.48,4.05,,,,,,,,,,,
4.84,5.43,,,,,,,,,,,
4.18,4.35,,,,,,,,,,,
5.29,5.36,,,,,,,,,,,
5.54,4.29,,,,,,,,,,,
5.31,3.58,,,,,,,,,,,
6.10,6.60,,,,,,,,,,,
5.49,3.97,,,,,,,,,,,
5.18,3.54,,,,,,,,,,,
4.95,4.95,,,,,,,,,,,
5.06,3.25,,,,,,,,,,,
4.39,4.84,,,,,,,,,,,
4.89,6.24,,,,,,,,,,,
3.19,7.19,,,,,,,,,,,
4.69,5.33,,,,,,,,,,,
3.20,4.29,,,,,,,,,,,
5.72,4.68,,,,,,,,,,,
4.47,4.59,,,,,,,,,,,
5.26,5.58,,,,,,,,,,,
4.40,4.86,,,,,,,,,,,
4.41,6.64,,,,,,,,,,,
7.19,5.76,,,,,,,,,,,
6.33,5.82,,,,,,,,,,,
6.44,4.48,,,,,,,,,,,
4.60,5.01,,,,,,,,,,,
3.53,6.16,,,,,,,,,,,
5.33,5.01,,,,,,,,,,,
4.19,5.69,,,,,,,,,,,
4.45,5.67,,,,,,,,,,,
6.05,4.14,,,,,,,,,,,
4.60,4.89,,,,,,,,,,,
